Event Title,Ticket Master Average Ticket Prices
The Legend: Tribute to Morricone,43.5
Bad Bunny: World's Hottest Tour ,907.5
LØRDAG - DAGSBILLET Jelling Musikfestival 2019,750.0
Vestrock 2022 - Day Ticket Friday,34.0
Holland International Blues Festival - Dayticket Friday,80.0
Holland International Blues Festival - Dayticket Saturday,80.0
Graspop Metal Meeting 2022 | VIP Friday,187.0
Pinkpop 2022 - Wilhelmina Sky Deck (3 days),765.0
Pinkpop 2022 (Friday),120.0
Graspop Metal Meeting 2022 | VIP Saturday,187.0
Pinkpop 2022 (Saturday),120.0
Stadspark Live 2022,163.5
Jason Derulo - Festival Starlite,82.5
Sebastian Yatra - Festival Starlite,54.0
HIP HOP KOPALNIA FESTIWAL - pole namiotowe,30.0
HIP HOP KOPALNIA FESTIWAL,190.0
Chucho Valdés y Amigos - Festival Starlite,31.0
Alan Parsons Live Project - Festival Starlite,40.5
Myke Towers - Festival Starlite,70.5
Jarocin Festiwal 2022 - camp,80.0
Maluma - Festival Starlite,158.5
SAMSØ FESTIVAL 2022 - 1 DAG - ONSDAG,695.0
Jessie J - Festival Starlite,43.0
SAMSØ FESTIVAL 2022 - 1 DAG - FREDAG,695.0
Joan Manuel Serrat - Festival Starlite,79.5
SAMSØ FESTIVAL 2022 - 1 DAG - LØRDAG,695.0
Lionel Richie - Festival Starlite,218.0
Andrés Calamaro - Festival Starlite,37.5
Simple Minds - Festival Starlite,93.5
Diana Krall - Festival Starlite,56.0
Knotfest Germany,99.0
C. Tangana - Festival Starlite,80.5
Dvicio & Marlon - Festival Starlite,27.0
Hombres G - Festival Starlite,36.5
"Estrella Morente, Israel Fernández & Kiki Morente - Festival Starlite",35.0
ALCATRAZ 2022 | Friday VIP,144.0
Jorge Drexler & Coque Malla - Festival Starlite,36.0
ALCATRAZ 2022 | Sunday VIP,144.0
Andrea Bocelli - Festival Starlite,232.5
Antonio José - Festival Starlite,41.5
Lowlands 2022 - GLLAMCAMP DELLUXE - Trylodge 2P,835.0
Lowlands 2022 - GLLAMCAMP DELLUXE - Tipi 5P,1207.0
Lowlands 2022 - GLLAMCAMP DELLUXE - Bioko 2P,689.0
Lowlands 2022 - GLLAMCAMP DELLUXE - Air 2P,865.0
Lowlands 2022 - GLLAMCAMP DELLUXE - Flores 2P,1239.0
Lowlands 2022 - GLLAMCAMP DELLUXE - Awaji 4P,1464.0
Lowlands 2022 - GLLAMCAMP DELLUXE - Tipi 7P,1645.0
Lowlands 2022 - GLLAMCAMP DELLUXE - Bunkhouse 2P,1135.0
Lowlands 2022 - GLLAMCAMP DELLUXE - Sahara 4P,940.0
Lowlands 2022 - EASY CAMP - 3x Pharaoh 2P + partytent,1107.0
Lowlands 2022 - GLLAMCAMP PACKAGE - Sahara 4P incl. 4 festivaltickets,490.0
Lowlands 2022 - GLLAMCAMP PACKAGE - Bioko 2P incl. 2 festivaltickets,584.0
Lowlands 2022 - GROUP CAMPING - Belltent 6P,727.0
Lowlands 2022 - GROUP CAMPING - Group Campsite,705.0
Carlos Rivera - Festival Starlite,68.5
Luis Fonsi - Festival Starlite,59.5
Dani Martín - Festival Starlite,82.5
Vanesa Martín - Festival Starlite,56.5
Siempre Así - Festival Starlite,33.5
Miguel Poveda - El Tiempo Pasa Volando - Festival Starlite,41.5
Ara Malikian - Festival Starlite,45.5
Dúo Dinámico - Festival Starlite,33.5
Magnetic Festival,1245.0
Das Oktober Metalfest 2022 Oktober editie,82.0
INFERNO METAL FESTIVAL 2023 - Thursday Ticket,880.0
Prognosis Festival Dayticket - Saturday,59.0
Prognosis Festival Dayticket - Sunday,59.0
Bad Bunny: World's Hottest Tour ,725.0
Garth Brooks,87.0
Bad Bunny: World's Hottest Tour ,881.0
Grupo Firme,313.0
Baby Shark Live: 2022 Splash Tour,45.0
Baby Shark Live 2022 Splash Tour,52.0
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,400.5
L.O.L. Surprise! Live,44.0
Coldplay - MUSIC OF THE SPHERES WORLD TOUR,109.0
L.O.L. Surprise! Live,45.0
L.O.L. Surprise! Live,44.0
Koo Koo Kanga Roo,20.0
L.O.L. Surprise! Live,39.0
L.O.L. Surprise! Live,44.0
Lady Gaga The Chromatica Ball,784.0
Elton John: Farewell Yellow Brick Road The Final Tour,149.0
L.O.L. Surprise! Live,45.0
L.O.L. Surprise! Live,37.0
L.O.L. Surprise! Live,44.0
L.O.L. Surprise! Live,39.0
L'expédition de la Rythmobile (en français),15.0
The Great Rhythmobile Adventure (in English),15.0
The Great Rhythmobile Adventure (in English),15.0
Songs My Mother Taught Me / Les chansons de ma mère,15.0
Songs My Mother Taught Me / Les chansons de ma mère,15.0
Audiotree Presents Koo Koo Kanga Roo,34.0
Kronos Quartet,35.5
Mozart's Flights of Fancy / La récréation de Mozart (in English),15.0
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Sesame Street Circus Spectacular by Silvers,49.5
Coldplay - MUSIC OF THE SPHERES WORLD TOUR,102.0
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,2160.0
Coldplay - MUSIC OF THE SPHERES WORLD TOUR,109.0
"Buckeye Country Superfest w/ Luke Combs, Cody Jinks & more",524.0
Billy Joel,104.0
Coldplay - MUSIC OF THE SPHERES WORLD TOUR,107.0
Garth Brooks,84.0
TWICE 4TH WORLD TOUR  III  IN NORTH AMERICA ENCORE,129.0
Def Leppard/Mötley Crüe/Poison/Joan Jett and the Blackhearts,409.5
Red Hot Chili Peppers 2022 World Tour,124.0
Bad Bunny: World's Hottest Tour ,700.0
